rep_id,n,tau,rho,p,fun,time
1,8192,0,0,2,Knight (original),0.00205000000000013
1,8192,0,0,2,Knight (extended),0.00334000000000003
1,8192,0,0,2,d-a-c,0.0122000000000014
1,8192,0,0,4,d-a-c,0.0481999999999971
1,8192,0,0,6,d-a-c,0.0923999999999978
1,8192,0,0,8,d-a-c,0.0677999999999997
1,8192,0,0,10,d-a-c,0.1108
1,8192,0,0,2,brute force,0.348000000000013
1,8192,0,0,10,brute force,0.473000000000013
2,8192,0,0,2,Knight (original),0.00205000000000013
2,8192,0,0,2,Knight (extended),0.00336000000000013
2,8192,0,0,2,d-a-c,0.0124000000000024
2,8192,0,0,4,d-a-c,0.0482000000000028
2,8192,0,0,6,d-a-c,0.0928000000000054
2,8192,0,0,8,d-a-c,0.0689999999999998
2,8192,0,0,10,d-a-c,0.111000000000001
2,8192,0,0,2,brute force,0.343999999999994
2,8192,0,0,10,brute force,0.471000000000004
3,8192,0,0,2,Knight (original),0.00205000000000013
3,8192,0,0,2,Knight (extended),0.00334000000000003
3,8192,0,0,2,d-a-c,0.0120000000000005
3,8192,0,0,4,d-a-c,0.0478000000000009
3,8192,0,0,6,d-a-c,0.0923999999999978
3,8192,0,0,8,d-a-c,0.0682000000000016
3,8192,0,0,10,d-a-c,0.1118
3,8192,0,0,2,brute force,0.349999999999994
3,8192,0,0,10,brute force,0.473000000000013
4,8192,0,0,2,Knight (original),0.00205000000000013
4,8192,0,0,2,Knight (extended),0.00334000000000003
4,8192,0,0,2,d-a-c,0.0121999999999957
4,8192,0,0,4,d-a-c,0.0480000000000018
4,8192,0,0,6,d-a-c,0.0924000000000035
4,8192,0,0,8,d-a-c,0.068199999999996
4,8192,0,0,10,d-a-c,0.110199999999998
4,8192,0,0,2,brute force,0.34699999999998
4,8192,0,0,10,brute force,0.471000000000004
5,8192,0,0,2,Knight (original),0.00204000000000008
5,8192,0,0,2,Knight (extended),0.0033499999999998
5,8192,0,0,2,d-a-c,0.0122000000000014
5,8192,0,0,4,d-a-c,0.0478000000000009
5,8192,0,0,6,d-a-c,0.0923999999999978
5,8192,0,0,8,d-a-c,0.0686000000000036
5,8192,0,0,10,d-a-c,0.1108
5,8192,0,0,2,brute force,0.342999999999989
5,8192,0,0,10,brute force,0.465000000000003
6,8192,0,0,2,Knight (original),0.00206999999999994
6,8192,0,0,2,Knight (extended),0.00336999999999989
6,8192,0,0,2,d-a-c,0.0122000000000014
6,8192,0,0,4,d-a-c,0.0477999999999952
6,8192,0,0,6,d-a-c,0.0920000000000016
6,8192,0,0,8,d-a-c,0.0680000000000007
6,8192,0,0,10,d-a-c,0.111399999999998
6,8192,0,0,2,brute force,0.342999999999989
6,8192,0,0,10,brute force,0.468999999999994
7,8192,0,0,2,Knight (original),0.00199000000000012
7,8192,0,0,2,Knight (extended),0.00330999999999989
7,8192,0,0,2,d-a-c,0.0120000000000005
7,8192,0,0,4,d-a-c,0.0480000000000018
7,8192,0,0,6,d-a-c,0.093199999999996
7,8192,0,0,8,d-a-c,0.0689999999999998
7,8192,0,0,10,d-a-c,0.111399999999998
7,8192,0,0,2,brute force,0.342000000000013
7,8192,0,0,10,brute force,0.466999999999985
8,8192,0,0,2,Knight (original),0.00201000000000022
8,8192,0,0,2,Knight (extended),0.00334000000000003
8,8192,0,0,2,d-a-c,0.0122000000000014
8,8192,0,0,4,d-a-c,0.048399999999998
8,8192,0,0,6,d-a-c,0.0937999999999988
8,8192,0,0,8,d-a-c,0.0692000000000007
8,8192,0,0,10,d-a-c,0.1118
8,8192,0,0,2,brute force,0.344999999999999
8,8192,0,0,10,brute force,0.47199999999998
9,8192,0,0,2,Knight (original),0.00205000000000013
9,8192,0,0,2,Knight (extended),0.00336000000000013
9,8192,0,0,2,d-a-c,0.0122000000000014
9,8192,0,0,4,d-a-c,0.0482000000000028
9,8192,0,0,6,d-a-c,0.0930000000000007
9,8192,0,0,8,d-a-c,0.0684000000000026
9,8192,0,0,10,d-a-c,0.112399999999997
9,8192,0,0,2,brute force,0.342999999999989
9,8192,0,0,10,brute force,0.47199999999998
10,8192,0,0,2,Knight (original),0.00200999999999993
10,8192,0,0,2,Knight (extended),0.00328999999999979
10,8192,0,0,2,d-a-c,0.0120000000000005
10,8192,0,0,4,d-a-c,0.0478000000000009
10,8192,0,0,6,d-a-c,0.0924000000000035
10,8192,0,0,8,d-a-c,0.0675999999999988
10,8192,0,0,10,d-a-c,0.109800000000001
10,8192,0,0,2,brute force,0.346000000000004
10,8192,0,0,10,brute force,0.468999999999994
11,8192,0,0,2,Knight (original),0.00203000000000003
11,8192,0,0,2,Knight (extended),0.00334000000000003
